ecdg_code,endstatus_admitted,endstatus_died,endstatus_left,endstatus_referred,arrival_ambulance,triage_1,triage_2,triage_3,triage_4,age_05_09,age_10_14,age_15_69,age_70_74,age_75_79,age_80_84,age_85+,admitted_age_0_14,admitted_age_80+,admitted_triage_1,admitted_triage_2,admitted_triage_3,admitted_triage_4
E0110,0.278,0.178,-0.119,0.293,0.253,1.061,0.58,0.361,0.196,0.019,0.062,0.263,0.344,0.343,0.409,0.37,-0.031,-0.039,-0.156,-0.075,0.025,0.077
E0120,0.237,0.186,-0.292,0.246,0.086,0.988,0.624,0.383,0.202,-0.011,0.055,0.248,0.367,0.36,0.409,0.371,-0.068,-0.051,-0.175,-0.063,0.009,0.116
E0130,0.244,0.186,-0.09,0.26,0.212,1.082,1.035,0.689,0.22,0.08,0.078,0.332,0.299,0.333,0.402,0.361,0.005,-0.04,-0.133,-0.139,-0.002,0.206
E0140,0.277,0.173,-0.123,0.254,0.126,1.061,0.862,0.589,0.221,0.049,0.073,0.348,0.313,0.325,0.404,0.395,-0.017,-0.039,-0.147,-0.088,-0.016,0.174
E0150,0.259,0.18,-0.129,0.292,0.251,1.048,0.751,0.457,0.206,0.038,0.07,0.266,0.335,0.342,0.401,0.381,-0.09,-0.037,-0.143,-0.072,-0.002,0.115
E0160,0.229,0.174,-0.168,0.278,0.233,1.056,0.752,0.469,0.212,0.07,0.099,0.263,0.341,0.35,0.403,0.391,-0.202,-0.041,-0.152,-0.067,0.011,0.063
E0170,0.23,0.179,-0.037,0.3,0.323,1.048,0.766,0.463,0.212,0.043,0.062,0.267,0.343,0.335,0.395,0.379,0.028,-0.044,-0.154,-0.079,0.002,0.11
E0190,0.307,0.173,-0.132,0.309,0.263,1.044,0.798,0.608,0.279,0.075,0.097,0.187,0.318,0.356,0.396,0.338,0.083,-0.047,-0.133,-0.077,0.013,0.198
E0290,0.43,0.177,-0.098,0.339,0.401,1.022,0.481,0.339,0.164,0.071,0.071,0.136,0.314,0.341,0.412,0.326,-0.077,-0.062,-0.162,-0.073,0.084,0.143
E0310,0.311,0.178,-0.14,0.274,0.328,1.011,0.634,0.367,0.16,0.023,0.054,0.176,0.309,0.331,0.4,0.341,0.017,-0.053,-0.157,-0.07,0.017,0.169
E0320,0.33,0.177,-0.057,0.45,0.51,1.06,0.826,0.564,0.221,0.092,0.092,0.172,0.281,0.332,0.403,0.389,0.063,-0.048,-0.133,-0.11,0.048,0.161
E0410,0.19,0.174,-0.151,0.248,0.184,1.037,0.697,0.45,0.197,0.02,0.07,0.281,0.35,0.346,0.408,0.382,-0.094,-0.034,-0.159,-0.091,0.011,0.087
E0420,0.262,0.177,-0.09,0.285,0.252,1.027,0.665,0.442,0.201,0.029,0.069,0.292,0.329,0.34,0.399,0.374,-0.001,-0.055,-0.169,-0.088,0.016,0.119
E0430,0.247,0.183,-0.191,0.336,0.184,1.096,0.675,0.458,0.19,0.035,0.034,0.26,0.339,0.341,0.398,0.37,-0.049,-0.046,-0.151,-0.07,0.002,0.118
E0440,0.304,0.185,-0.107,0.397,0.33,1.04,0.742,0.503,0.226,0.044,0.061,0.213,0.33,0.337,0.401,0.398,0.044,-0.04,-0.154,-0.072,0.004,0.196
E0450,0.284,0.175,0.017,0.33,0.225,1.023,0.636,0.442,0.185,0.024,0.065,0.3,0.314,0.349,0.388,0.317,0.072,-0.057,-0.179,-0.08,0.01,0.129
E0490,0.321,0.168,-0.134,0.278,0.212,1.079,0.747,0.52,0.247,0.023,0.044,0.312,0.354,0.348,0.42,0.392,-0.039,-0.046,-0.18,-0.069,0.032,0.148
E0510,0.177,0.171,-0.159,0.214,0.145,0.962,0.804,0.618,0.237,0.019,0.066,0.289,0.349,0.351,0.386,0.397,0.018,-0.039,-0.191,-0.107,0.004,0.182
E0520,0.358,0.076,-0.141,0.196,0.091,1.015,0.929,0.718,0.267,0.06,0.079,0.316,0.318,0.335,0.415,0.36,-0.008,-0.028,-0.137,-0.091,-0.009,0.252
E0530,0.267,0.175,-0.072,0.251,0.25,1.01,0.678,0.477,0.211,0.031,0.073,0.29,0.332,0.342,0.396,0.362,0.01,-0.051,-0.179,-0.104,0.028,0.148
E0540,0.167,0.188,-0.236,0.255,0.259,0.99,0.664,0.52,0.207,0.001,0.051,0.259,0.369,0.354,0.392,0.363,0.051,-0.041,-0.174,-0.096,-0.006,0.192
E0590,0.238,0.245,-0.318,0.276,0.202,0.947,0.602,0.424,0.218,0.005,0.039,0.226,0.36,0.348,0.408,0.375,-0.004,-0.051,-0.16,-0.007,-0.044,0.133
E0610,0.283,0.175,-0.106,0.25,0.264,1.039,0.709,0.48,0.207,0.039,0.071,0.269,0.331,0.338,0.404,0.354,0.005,-0.041,-0.168,-0.082,0.022,0.134
E0620,0.226,0.177,-0.088,0.281,0.239,1.042,0.765,0.527,0.21,0.04,0.072,0.266,0.338,0.339,0.399,0.388,-0.026,-0.037,-0.157,-0.11,0.019,0.139
E0630,0.201,0.182,-0.121,0.287,0.277,1.004,0.648,0.345,0.17,0.008,0.034,0.223,0.347,0.341,0.405,0.381,0.012,-0.046,-0.168,-0.043,-0.003,0.033
