ecdg_code,ecdg_subgroup,icd10
E0110 Dementia and other chronic brain syndromes,E0111 Dementia and other chronic brain syndromes subcategory,F03
E0110 Dementia and other chronic brain syndromes,E0111 Dementia and other chronic brain syndromes subcategory,F09
E0110 Dementia and other chronic brain syndromes,E0111 Dementia and other chronic brain syndromes subcategory,G30.9
E0120 Delirium,E0121 Delirium subcategory,F05.1
E0120 Delirium,E0121 Delirium subcategory,F05.9
E0120 Delirium,E0121 Delirium subcategory,R41.0
E0120 Delirium,E0121 Delirium subcategory,R41.8
E0130 Stroke and other cerebrovascular disorders,E0131 Stroke and other cerebrovascular disorders subcategory,I60.9
E0130 Stroke and other cerebrovascular disorders,E0131 Stroke and other cerebrovascular disorders subcategory,I61.9
E0130 Stroke and other cerebrovascular disorders,E0131 Stroke and other cerebrovascular disorders subcategory,I62.0
E0130 Stroke and other cerebrovascular disorders,E0131 Stroke and other cerebrovascular disorders subcategory,I62.9
E0130 Stroke and other cerebrovascular disorders,E0131 Stroke and other cerebrovascular disorders subcategory,I63.9
E0130 Stroke and other cerebrovascular disorders,E0131 Stroke and other cerebrovascular disorders subcategory,I64
E0130 Stroke and other cerebrovascular disorders,E0131 Stroke and other cerebrovascular disorders subcategory,I66.9
E0130 Stroke and other cerebrovascular disorders,E0131 Stroke and other cerebrovascular disorders subcategory,I67.9
E0140 TIA and precerebral occlusion,E0141 TIA and precerebral occlusion subcategory,G45.0
E0140 TIA and precerebral occlusion,E0141 TIA and precerebral occlusion subcategory,G45.9
E0150 Seizures,E0151 Seizures subcategory,G40.10
E0150 Seizures,E0151 Seizures subcategory,G40.30
E0150 Seizures,E0151 Seizures subcategory,G40.90
E0150 Seizures,E0151 Seizures subcategory,G41.9
E0160 Convulsions,E0161 Convulsions subcategory,P90
E0160 Convulsions,E0161 Convulsions subcategory,R56.0
E0160 Convulsions,E0161 Convulsions subcategory,R56.8
E0170 Headaches,E0171 Headaches subcategory,G43.9
E0170 Headaches,E0171 Headaches subcategory,G44.0
E0170 Headaches,E0171 Headaches subcategory,G44.2
E0170 Headaches,E0171 Headaches subcategory,G44.8
E0170 Headaches,E0171 Headaches subcategory,G97.1
E0170 Headaches,E0171 Headaches subcategory,G97.19
E0170 Headaches,E0171 Headaches subcategory,R51
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,A80.9
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,A81.0
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,A82.9
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,A83.0
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,A83.4
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,A87.9
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,A89
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,G00.9
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,G03.9
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,G04.9
E0190 Nervous system and neurological disorders,E0191 CNS infection and inflammation subcategory,G06.2
E0190 Nervous system and neurological disorders,E0193 Degenerative and demyelinating nervous system disorders subcategory,G12.9
E0190 Nervous system and neurological disorders,E0193 Degenerative and demyelinating nervous system disorders subcategory,G20
E0190 Nervous system and neurological disorders,"E0195 Nervous system disorders, other subcategory",G24.9
E0190 Nervous system and neurological disorders,E0193 Degenerative and demyelinating nervous system disorders subcategory,G25.9
