ICD9,ICD10,FLAG
1145,B382,00000
3083,F430,10000
8900,S71009A,10000
8900,S71109A,10000
9177,L0889,10112
9177,S90453A,10111
9177,S90456A,10111
9177,S90859A,10111
71522,M19229,10000
04182,B966,00000
7729,P549,00000
38914,H905,10000
41519,I2699,10000
3418,G371,10000
3418,G372,10000
3418,G378,10000
8920,S91309A,10000
01385,A1789,10000
3480,G930,00000
E8320,V9209XA,10000
36029,H44399,10000
37005,H16069,10000
4911,J411,00000
7236,M5402,10000
19881,C7981,00000
01002,A157,10000
1909,C6990,10000
30392,F1020,10000
64133,O45001,10000
64133,O45002,10000
64133,O45003,10000
64133,O45011,10000
64133,O45012,10000
64133,O45013,10000
64133,O45021,10000
64133,O45022,10000
64133,O45023,10000
64133,O45091,10000
64133,O45092,10000
64133,O45093,10000
64133,O46001,10000
64133,O46002,10000
64133,O46003,10000
64133,O46011,10000
64133,O46012,10000
64133,O46013,10000
64133,O46021,10000
64133,O46022,10000
64133,O46023,10000
64133,O46091,10000
64133,O46092,10000
64133,O46093,10000
80496,S0291XB,10111
80496,S06899A,10112
80496,S069X9A,10112
33922,G44329,10000
4610,J0100,10000
64842,O906,10000
64842,O99345,10000
E8689,NoDx,11000
E9940,Y36110A,10000
53271,K267,10111
53271,K56699,10112
65833,O755,10000
5565,K5150,10000
80443,S0291XA,10111
80443,S06893A,10112
80443,S06894A,10112
80443,S069X4A,10112
0530,B021,00000
79092,R791,00000
20001,C8331,10000
75162,Q446,00000
37035,H16239,10000
27784,E71448,10000
32719,G4719,10000
52460,M26601,10000
52460,M26602,10000
52460,M26603,10000
52460,M26609,10000
52460,M2669,10000
0232,A232,00000
3079,F633,10000
3079,R451,10000
7327,M9320,10000
78838,N39490,00000
9172,S90423A,10000
9172,S90426A,10000
9172,S90829A,10000
34982,G92,10000
5920,N200,10000
72401,M4804,10000
85120,S06330A,10000
514,J182,10000
514,J811,10000
1404,C004,00000
9746,T503X1A,10000
E8752,Y648,10000
67813,O30021,10000
67813,O30022,10000
67813,O30023,10000
76507,P0717,10000
75244,Q51820,00000
9606,T366X1A,10000
9606,T366X2A,10000
9606,T366X3A,10000
9606,T366X4A,10000
37124,H18219,10000
80469,S0291XB,10111
80469,S06330A,10112
73009,M8619,10000
73009,M8629,10000
7627,P027,00000
4958,J678,00000
71955,M25659,10000
